A5143   1 09152 
A5144   1 09189 
A5145   1 09162 
A5146   1 09161 
A5149   1 09189 
A515    1 0929  
A519    1 0929  
A5200   1 0939  
A5201   1 0930  
A5202   1 0931  
A5203   1 09320 
A5204   1 09389 
A5205   1 09389 
A5206   1 09382 
A5209   1 09389 
A5210   1 0949  
A5211   1 0940  
A5212   1 09489 
A5213   1 0942  
A5214   1 09481 
A5215   2 09489 3574  
A5216   2 0940  7135  
A5217   1 0941  
A5219   1 09489 
A522    1 0943  
A523    1 0949  
A5271   1 0950  
A5272   1 0951  
A5273   1 0958  
A5274   1 0953  
A5275   1 0954  
A5276   1 0958  
A5277   1 0955  
A5278   1 0957  
A5279   1 0958  
A528    1 096   
A529    1 0970  
A530    1 0971  
A539    1 0979  
A5400   1 0980  
A5401   1 09811 
A5402   1 0980  
A5403   1 09815 
A5409   1 0980  
A541    1 0980  
A5421   1 09819 
A5422   1 09812 
A5423   1 09813 
A5424   1 09816 
A5429   1 09819 
A5430   1 09849 
A5431   1 09840 
A5432   1 09841 
A5433   1 09843 
A5439   1 09849 
A5440   1 09859 
A5441   1 09853 
A5442   1 09850 
A5443   1 09859 
A5449   1 09852 
A545    1 0986  
A546    1 0987  
A5481   1 09882 
A5482   1 09889 
A5483   1 09885 
A5484   1 09889 
A5485   1 09886 
A5486   2 09889 99591 
A5489   1 09889 
A549    1 09889 
A55     1 0991  
A5600   1 09953 
A5601   2 09953 5954  
A5602   2 09953 61611 
A5609   1 09953 
A5611   2 09954 6149  
A5619   1 09954 
A562    1 09955 
A563    1 09952 
A564    1 09951 
A568    1 09959 
A57     1 0990  
A58     1 0992  
A5900   1 13100 
A5901   1 13101 
A5902   1 13103 
A5903   1 13102 
A5909   1 13109 
A598    1 1318  
A599    1 1319  
A6000   1 05410 
A6001   1 05413 
A6002   1 05419 
A6003   1 05419 
A6004   1 05412 
A6009   1 05419 
A601    1 05419 
A609    1 05410 
A630    1 07811 
A638    1 0998  
A64     1 0999  
A65     1 1040  
A660    1 1020  
A661    1 1021  
A662    1 1022  
A663    1 1023  
A664    1 1024  
A665    1 1025  
A666    1 1026  
A667    1 1027  
A668    1 1028  
A669    1 1029  
A670    1 1030  
A671    1 1031  
A672    1 1032  
A673    1 1033  
A679    1 1039  
A680    1 0870  
A681    1 0871  
A689    1 0879  
A690    1 101   
A691    1 101   
A6920   1 08881 
A6921   1 08881 
A6922   1 08881 
A6923   1 08881 
A6929   1 08881 
A698    1 1048  
A699    1 1049  
A70     1 0739  
A710    1 0760  
A711    1 0761  
A719    1 0769  
A740    1 0770  
A7481   1 07988 
A7489   1 07888 
